Company,Job Title,Location,Job Description,Work Type,Posting Date, Apply_Link
Kyndryl Holdings,Data Engineer,"Washington, D.C.","An ETL Developer specializes in designing and implementing Extract, Transform, Load (ETL) processes to move and transform data between systems, supporting data integration and analytics.",Part-Time,2022-03-25,https://www.idealist.org/en/jobs
Salesforce,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Temporary,2023-04-05,https://www.linkedin.com/
Raymond James Financial,Data Engineer,"Washington, D.C.","A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements.",Intern,2022-12-24,https://www.indeed.com/
United Services Automobile Assn.,Data Engineer,"Washington, D.C.","A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements.",Contract,2023-06-27,https://www.flexjobs.com/
J.M. Smucker,Software Engineer,"Washington, D.C.","A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.",Temporary,2023-03-22,https://www.idealist.org/en/jobs
Delek US Holdings,Data Analyst,"Washington, D.C.","Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization.",Full-Time,2023-09-02,https://www.usajobs.gov/
Seaboard,Software Engineer,"Washington, D.C.","A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.",Contract,2023-09-03,https://www.flexjobs.com/
Bayer AG,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Full-Time,2022-06-21,https://www.indeed.com/
Grafton Group,Data Analyst,"Washington, D.C.","Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.",Full-Time,2023-06-29,https://www.jobs2careers.com/
GlaxoSmithKline,Data Scientist,"Washington, D.C.","Machine Learning Engineers develop machine learning models and algorithms, working on tasks like data preprocessing, model training, and deployment.",Full-Time,2022-05-23,https://www.themuse.com/
Bank of America,Data Analyst,"Washington, D.C.","Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization.",Contract,2022-11-08,https://www.idealist.org/en/jobs
Beacon Roofing Supply,Product Manager,"Washington, D.C.","Agile Product Owners work closely with development teams in Agile environments. They define and prioritize product backlog items, communicate the product vision, and ensure that the product increments delivered align with customer needs and project objectives.",Part-Time,2023-01-08,https://www.idealist.org/en/jobs
Tesco,Software Engineer,"Washington, D.C.","DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).",Intern,2021-10-11,https://www.idealist.org/en/jobs
Plains GP Holdings,UX/UI Designer,"Washington, D.C.","User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.",Contract,2022-04-18,https://www.ziprecruiter.com/
Sysco,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Full-Time,2021-09-27,https://www.careerbuilder.com/
Liberty Mutual Insurance Group,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Full-Time,2022-02-16,https://www.linkedin.com/
Royal Caribbean Group,Product Manager,"Washington, D.C.","Technical Product Managers oversee the development and enhancement of technical products. They define product requirements, prioritize features, collaborate with development teams, and ensure the product aligns with the companys strategic goals and market needs.",Contract,2023-09-06,https://www.usajobs.gov/
New Oriental Education & Technology Group,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Intern,2023-06-30,https://www.monster.com/
Bed Bath & Beyond,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Intern,2022-05-29,https://www.simplyhired.com/
AES,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Full-Time,2022-10-04,https://www.idealist.org/en/jobs
Paccar,Business Analyst,"Washington, D.C.","Data Business Analysts focus on data-related projects. They collect and analyze data, identify trends, and provide insights to support data-driven decision-making within the organization.",Intern,2023-08-21,https://stackoverflowjobs.com/
J.B. Hunt Transport Services,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Temporary,2022-08-19,https://www.usajobs.gov/
NIO Inc.,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Intern,2023-07-13,https://www.glassdoor.com/
Occidental Petroleum,Data Analyst,"Washington, D.C.","Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.",Part-Time,2021-12-14,https://www.idealist.org/en/jobs
Johnson & Johnson,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Intern,2023-02-21,https://www.themuse.com/
Unum Group,Software Engineer,"Washington, D.C.","DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).",Contract,2021-11-04,https://www.indeed.com/
Sonic Automotive,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Contract,2023-04-02,https://stackoverflowjobs.com/
AstraZeneca,Software Engineer,"Washington, D.C.","DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).",Intern,2021-12-09,https://www.indeed.com/
Mindtree Limited,Software Engineer,"Washington, D.C.","DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).",Contract,2021-12-23,https://www.simplyhired.com/
3i Group,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Part-Time,2023-01-02,https://www.careerbuilder.com/
Amphenol,Data Analyst,"Washington, D.C.","Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.",Part-Time,2021-12-12,https://www.flexjobs.com/
Otis Worldwide,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Temporary,2021-11-25,https://www.indeed.com/
Unum Group,Software Engineer,"Washington, D.C.","A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.",Temporary,2022-06-25,https://www.usajobs.gov/
Sprint Corporation,Software Engineer,"Washington, D.C.","DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).",Contract,2022-03-25,https://www.flexjobs.com/
"The Goldman Sachs Group, Inc.",Data Engineer,"Washington, D.C.","A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements.",Contract,2022-05-31,https://www.snagajob.com/
The Coca-Cola Company,Data Engineer,"Washington, D.C.","An ETL Developer specializes in designing and implementing Extract, Transform, Load (ETL) processes to move and transform data between systems, supporting data integration and analytics.",Full-Time,2023-04-12,https://www.idealist.org/en/jobs
Newcrest Mining,Software Engineer,"Washington, D.C.","A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.",Part-Time,2022-10-30,https://www.indeed.com/
"Square, Inc.",Product Manager,"Washington, D.C.","Agile Product Owners work closely with development teams in Agile environments. They define and prioritize product backlog items, communicate the product vision, and ensure that the product increments delivered align with customer needs and project objectives.",Contract,2022-07-06,https://www.usajobs.gov/
Tesla,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Intern,2022-06-16,https://www.usajobs.gov/
Advance Auto Parts,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Intern,2022-02-13,https://www.glassdoor.com/
Dick's Sporting Goods,Data Engineer,"Washington, D.C.","A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions.",Part-Time,2022-03-26,https://www.usajobs.gov/
Rockwell Automation,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Contract,2022-08-28,https://www.dice.com/
HF Sinclair,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Temporary,2023-04-26,https://www.careerbuilder.com/
Ally Financial,Data Engineer,"Washington, D.C.","An ETL Developer specializes in designing and implementing Extract, Transform, Load (ETL) processes to move and transform data between systems, supporting data integration and analytics.",Full-Time,2023-06-01,https://www.snagajob.com/
Playtech,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Full-Time,2022-08-07,https://www.glassdoor.com/
Elevance Health,Data Scientist,"Washington, D.C.","Machine Learning Engineers develop machine learning models and algorithms, working on tasks like data preprocessing, model training, and deployment.",Full-Time,2022-03-01,https://www.snagajob.com/
Williams,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Contract,2023-02-02,https://www.linkedin.com/
Chevron,Software Engineer,"Washington, D.C.","A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.",Full-Time,2022-03-03,https://www.ziprecruiter.com/
Coty Inc.,Data Analyst,"Washington, D.C.","Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization.",Temporary,2021-11-14,https://www.snagajob.com/
Landstar System,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Contract,2022-06-21,https://www.themuse.com/
Linde plc,Data Analyst,"Washington, D.C.","Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization.",Full-Time,2023-08-23,https://www.linkedin.com/
Centrica,Product Manager,"Washington, D.C.","Agile Product Owners work closely with development teams in Agile environments. They define and prioritize product backlog items, communicate the product vision, and ensure that the product increments delivered align with customer needs and project objectives.",Full-Time,2023-06-13,https://www.themuse.com/
Glencore,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Intern,2023-08-10,https://www.idealist.org/en/jobs
Blackstone,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Intern,2021-10-21,https://stackoverflowjobs.com/
Verizon Communications,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Contract,2022-03-07,https://www.jobs2careers.com/
Costco Wholesale,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Part-Time,2022-12-20,https://www.linkedin.com/
Ovintiv,Data Analyst,"Washington, D.C.","Data Quality Analysts ensure the accuracy, completeness, and consistency of data within an organization. They develop and implement data quality standards, perform data validation, and identify and resolve data quality issues to maintain data integrity.",Part-Time,2021-12-02,https://www.linkedin.com/
SVB Financial Group,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Intern,2022-11-12,https://www.flexjobs.com/
National Grid,Data Analyst,"Washington, D.C.","Data Quality Analysts ensure the accuracy, completeness, and consistency of data within an organization. They develop and implement data quality standards, perform data validation, and identify and resolve data quality issues to maintain data integrity.",Part-Time,2022-05-16,https://www.idealist.org/en/jobs
Standard Chartered,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Temporary,2022-10-09,https://www.flexjobs.com/
United States Steel,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Contract,2022-09-29,https://www.simplyhired.com/
W.W. Grainger,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Intern,2021-12-24,https://www.usajobs.gov/
Watsco,Software Engineer,"Washington, D.C.","A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.",Intern,2021-12-20,https://stackoverflowjobs.com/
Sainsbury's,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Intern,2022-08-22,https://www.themuse.com/
Reinsurance Group of America,Data Engineer,"Washington, D.C.","A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions.",Full-Time,2023-06-12,https://www.idealist.org/en/jobs
NIO Inc.,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Contract,2022-08-24,https://www.usajobs.gov/
International Business Machines,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Contract,2021-09-20,https://stackoverflowjobs.com/
AES,Data Scientist,"Washington, D.C.","Machine Learning Engineers develop machine learning models and algorithms, working on tasks like data preprocessing, model training, and deployment.",Temporary,2023-08-05,https://www.jobs2careers.com/
Marathon Petroleum,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Contract,2022-08-22,https://www.indeed.com/
Exxon Mobil Corporation,UX/UI Designer,"Washington, D.C.","User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.",Intern,2023-01-03,https://www.idealist.org/en/jobs
Micro Focus International,UX/UI Designer,"Washington, D.C.","User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.",Full-Time,2023-02-19,https://www.glassdoor.com/
Expedia Group,Business Analyst,"Washington, D.C.","Data Business Analysts focus on data-related projects. They collect and analyze data, identify trends, and provide insights to support data-driven decision-making within the organization.",Contract,2023-05-27,https://www.snagajob.com/
Fiat Chrysler Automobiles N.V.,Product Manager,"Washington, D.C.","Agile Product Owners work closely with development teams in Agile environments. They define and prioritize product backlog items, communicate the product vision, and ensure that the product increments delivered align with customer needs and project objectives.",Contract,2022-08-26,https://www.dice.com/
China Construction Bank,Software Engineer,"Washington, D.C.","A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.",Full-Time,2022-11-08,https://www.ziprecruiter.com/
Truist Financial,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Contract,2022-04-08,https://www.themuse.com/
Mphasis,Data Engineer,"Washington, D.C.","An ETL Developer specializes in designing and implementing Extract, Transform, Load (ETL) processes to move and transform data between systems, supporting data integration and analytics.",Intern,2022-02-04,https://www.monster.com/
Republic Services,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Intern,2023-07-05,https://www.careerbuilder.com/
Johnson & Johnson,Business Analyst,"Washington, D.C.","Healthcare Business Analysts work in the healthcare industry, analyzing data and processes to improve healthcare delivery. They collaborate with healthcare professionals and IT teams to optimize systems and workflows.",Part-Time,2022-01-29,https://www.dice.com/
Indian Bank,Data Analyst,"Washington, D.C.","Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.",Full-Time,2022-09-23,https://www.flexjobs.com/
3i Group,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Contract,2021-11-04,https://stackoverflowjobs.com/
XPO,Software Engineer,"Washington, D.C.","A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.",Full-Time,2023-08-27,https://www.snagajob.com/
Everbright Securities,Data Analyst,"Washington, D.C.","Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.",Intern,2023-08-06,https://www.idealist.org/en/jobs
Northrop Grumman,UX/UI Designer,"Washington, D.C.","User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.",Part-Time,2021-11-28,https://www.jobs2careers.com/
Viatris,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Contract,2022-02-18,https://stackoverflowjobs.com/
Thermo Fisher Scientific,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Full-Time,2022-12-29,https://www.snagajob.com/
Dana,Software Engineer,"Washington, D.C.","A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.",Temporary,2023-06-20,https://stackoverflowjobs.com/
CIMIC Group,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Contract,2022-02-02,https://www.jobs2careers.com/
American Family Insurance Group,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Temporary,2021-10-04,https://www.jobs2careers.com/
Norwegian Cruise Line Holdings Ltd.,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Contract,2023-05-15,https://www.jobs2careers.com/
Live Nation Entertainment,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Part-Time,2022-01-24,https://www.usajobs.gov/
Yum China Holdings,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Full-Time,2023-08-12,https://stackoverflowjobs.com/
Brambles Limited,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Temporary,2022-07-26,https://www.ziprecruiter.com/
Unilever,Software Engineer,"Washington, D.C.","DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).",Contract,2023-01-24,https://www.simplyhired.com/
MRF Limited,Data Engineer,"Washington, D.C.","A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions.",Contract,2022-05-27,https://www.simplyhired.com/
American Airlines Group,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Temporary,2022-06-12,https://stackoverflowjobs.com/
Leidos Holdings,Software Engineer,"Washington, D.C.","DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).",Full-Time,2021-12-22,https://www.jobs2careers.com/
"Wirecard AG (Now defunct, due to bankruptcy)",UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Part-Time,2023-05-18,https://stackoverflowjobs.com/
