Company,Job Title,Location,Job Description,Work Type,Posting Date, Apply_Link
Leidos Holdings,Software Engineer,"Washington, D.C.","DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).",Contract,2023-03-08,https://stackoverflowjobs.com/
ServiceNow,Software Engineer,"Washington, D.C.","DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).",Contract,2022-03-02,https://www.careerbuilder.com/
V-Guard Industries,UX/UI Designer,"Washington, D.C.","User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.",Contract,2022-09-10,https://www.careerbuilder.com/
Geely Automobile Holdings,Data Analyst,"Washington, D.C.","Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization.",Part-Time,2022-02-28,https://www.snagajob.com/
CNOOC (China National Offshore Oil Corporation),UX/UI Designer,"Washington, D.C.","User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.",Part-Time,2023-06-26,https://www.snagajob.com/
Marriott International,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Contract,2022-01-27,https://www.ziprecruiter.com/
St. James's Place plc,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Part-Time,2023-06-19,https://www.flexjobs.com/
Rightmove,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Part-Time,2022-02-20,https://www.ziprecruiter.com/
Genworth Financial,Data Engineer,"Washington, D.C.","An ETL Developer specializes in designing and implementing Extract, Transform, Load (ETL) processes to move and transform data between systems, supporting data integration and analytics.",Part-Time,2023-05-13,https://www.idealist.org/en/jobs
Campbell Soup,Data Analyst,"Washington, D.C.","Data Quality Analysts ensure the accuracy, completeness, and consistency of data within an organization. They develop and implement data quality standards, perform data validation, and identify and resolve data quality issues to maintain data integrity.",Contract,2022-09-12,https://www.flexjobs.com/
Aflac,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Intern,2022-10-27,https://stackoverflowjobs.com/
Aramark,UX/UI Designer,"Washington, D.C.","User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.",Temporary,2023-01-16,https://www.linkedin.com/
Xiaomi Corporation,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Intern,2023-06-12,https://stackoverflowjobs.com/
Nike,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Temporary,2021-12-28,https://www.themuse.com/
Kraft Heinz,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Contract,2021-12-04,https://www.dice.com/
GlaxoSmithKline,UX/UI Designer,"Washington, D.C.","User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.",Intern,2022-08-24,https://www.jobs2careers.com/
Origin Energy,Business Analyst,"Washington, D.C.","Healthcare Business Analysts work in the healthcare industry, analyzing data and processes to improve healthcare delivery. They collaborate with healthcare professionals and IT teams to optimize systems and workflows.",Contract,2023-03-27,https://www.linkedin.com/
Raytheon Technologies,Data Engineer,"Washington, D.C.","A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions.",Intern,2023-03-10,https://www.usajobs.gov/
Amazon.com,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Contract,2022-09-16,https://www.flexjobs.com/
United Natural Foods,Software Engineer,"Washington, D.C.","A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.",Full-Time,2023-07-02,https://www.simplyhired.com/
Targa Resources,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Intern,2022-07-28,https://www.dice.com/
Target,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Part-Time,2021-12-02,https://www.careerbuilder.com/
Delta Air Lines,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Temporary,2021-10-05,https://www.simplyhired.com/
Tata Consumer Products,Data Engineer,"Washington, D.C.","A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions.",Part-Time,2023-08-06,https://www.snagajob.com/
AstraZeneca,Product Manager,"Washington, D.C.","Agile Product Owners work closely with development teams in Agile environments. They define and prioritize product backlog items, communicate the product vision, and ensure that the product increments delivered align with customer needs and project objectives.",Temporary,2023-02-18,https://www.glassdoor.com/
Vistra,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Intern,2022-07-08,https://www.careerbuilder.com/
HDFC Ltd,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Part-Time,2022-03-29,https://www.monster.com/
Newmont,UX/UI Designer,"Washington, D.C.","User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.",Contract,2022-10-27,https://stackoverflowjobs.com/
Polaris,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Full-Time,2023-08-17,https://www.simplyhired.com/
Dominion Energy,UX/UI Designer,"Washington, D.C.","User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.",Full-Time,2021-12-10,https://www.careerbuilder.com/
Regeneron Pharmaceuticals,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Full-Time,2021-12-27,https://www.monster.com/
Hikvision,UX/UI Designer,"Washington, D.C.","User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.",Part-Time,2022-11-14,https://www.indeed.com/
ThyssenKrupp AG,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Intern,2021-12-01,https://www.usajobs.gov/
Sirius XM Holdings Inc.,Data Analyst,"Washington, D.C.","Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization.",Temporary,2022-02-23,https://stackoverflowjobs.com/
Huntington Ingalls Industries,UX/UI Designer,"Washington, D.C.","User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.",Intern,2022-04-29,https://www.ziprecruiter.com/
Cholamandalam Investment and Finance Company,UX/UI Designer,"Washington, D.C.","User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.",Contract,2021-11-22,https://www.indeed.com/
ManpowerGroup,UX/UI Designer,"Washington, D.C.","User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.",Part-Time,2022-04-22,https://www.snagajob.com/
MetLife,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Temporary,2022-09-23,https://www.jobs2careers.com/
AstraZeneca,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Intern,2023-03-29,https://www.themuse.com/
Siemens India,Data Analyst,"Washington, D.C.","Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.",Contract,2022-03-27,https://www.simplyhired.com/
JetBlue Airways,Data Scientist,"Washington, D.C.","Machine Learning Engineers develop machine learning models and algorithms, working on tasks like data preprocessing, model training, and deployment.",Temporary,2023-09-15,https://www.monster.com/
HSBC (Hongkong and Shanghai Banking Corporation),Data Engineer,"Washington, D.C.","A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements.",Intern,2022-03-01,https://www.ziprecruiter.com/
Performance Food Group,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Part-Time,2021-09-22,https://www.jobs2careers.com/
Ferguson plc,Product Manager,"Washington, D.C.","Agile Product Owners work closely with development teams in Agile environments. They define and prioritize product backlog items, communicate the product vision, and ensure that the product increments delivered align with customer needs and project objectives.",Temporary,2023-01-24,https://www.monster.com/
Tata Power,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Full-Time,2023-08-12,https://www.linkedin.com/
US Foods Holding,Product Manager,"Washington, D.C.","Agile Product Owners work closely with development teams in Agile environments. They define and prioritize product backlog items, communicate the product vision, and ensure that the product increments delivered align with customer needs and project objectives.",Temporary,2023-01-24,https://www.jobs2careers.com/
Meta Platforms,Data Analyst,"Washington, D.C.","Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.",Contract,2023-03-31,https://www.simplyhired.com/
Petronet LNG,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Full-Time,2023-03-18,https://www.simplyhired.com/
D.R. Horton,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Full-Time,2022-09-05,https://www.usajobs.gov/
PVH,Data Analyst,"Washington, D.C.","Data Quality Analysts ensure the accuracy, completeness, and consistency of data within an organization. They develop and implement data quality standards, perform data validation, and identify and resolve data quality issues to maintain data integrity.",Part-Time,2022-03-03,https://www.dice.com/
Public Service Enterprise Group,Data Analyst,"Washington, D.C.","Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization.",Part-Time,2021-09-28,https://www.idealist.org/en/jobs
Zoetis,UX/UI Designer,"Washington, D.C.","User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.",Part-Time,2022-06-21,https://www.jobs2careers.com/
Gilead Sciences,Data Scientist,"Washington, D.C.","Data Engineers design and maintain data pipelines, ensuring data availability and quality for analysis and reporting purposes.",Temporary,2023-04-24,https://www.idealist.org/en/jobs
Origin Energy,Data Analyst,"Washington, D.C.","Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization.",Temporary,2022-08-22,https://stackoverflowjobs.com/
M&T Bank,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Intern,2023-05-23,https://www.ziprecruiter.com/
Evolution Mining,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Temporary,2022-06-16,https://www.themuse.com/
Ferguson plc,Data Scientist,"Washington, D.C.","Data Engineers design and maintain data pipelines, ensuring data availability and quality for analysis and reporting purposes.",Temporary,2023-05-24,https://www.themuse.com/
China National Chemical Corporation (ChemChina),Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Contract,2022-11-28,https://www.simplyhired.com/
NIO Inc.,Data Engineer,"Washington, D.C.","A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements.",Temporary,2023-06-25,https://www.snagajob.com/
Workspace Group,UX/UI Designer,"Washington, D.C.","User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.",Part-Time,2022-04-08,https://www.idealist.org/en/jobs
Landstar System,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Intern,2022-10-07,https://www.simplyhired.com/
StoneX Group,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Full-Time,2022-10-17,https://www.usajobs.gov/
Philip Morris International,Product Manager,"Washington, D.C.","Technical Product Managers oversee the development and enhancement of technical products. They define product requirements, prioritize features, collaborate with development teams, and ensure the product aligns with the companys strategic goals and market needs.",Full-Time,2022-05-12,https://www.usajobs.gov/
Raymond James Financial,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Part-Time,2021-10-06,https://www.idealist.org/en/jobs
HeidelbergCement AG,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Part-Time,2022-09-17,https://www.flexjobs.com/
Deutsche Bahn AG,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Contract,2023-08-18,https://www.themuse.com/
State Bank of India (SBI),UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Intern,2022-12-28,https://www.jobs2careers.com/
Dana,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Part-Time,2022-07-08,https://www.jobs2careers.com/
Hochschild Mining,Data Engineer,"Washington, D.C.","A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions.",Full-Time,2022-07-11,https://www.snagajob.com/
NRG Energy,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Intern,2023-04-10,https://www.idealist.org/en/jobs
Ameren,UX/UI Designer,"Washington, D.C.","User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.",Full-Time,2022-10-12,https://www.dice.com/
BASF SE,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Full-Time,2022-02-06,https://www.themuse.com/
Bajaj Electricals,Data Engineer,"Washington, D.C.","An ETL Developer specializes in designing and implementing Extract, Transform, Load (ETL) processes to move and transform data between systems, supporting data integration and analytics.",Part-Time,2023-08-12,https://www.jobs2careers.com/
Mosaic,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Part-Time,2022-07-02,https://www.glassdoor.com/
Marriott International,Software Engineer,"Washington, D.C.","A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.",Full-Time,2022-05-09,https://www.jobs2careers.com/
Toll Brothers,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Part-Time,2022-09-19,https://www.flexjobs.com/
Berger Paints India Limited,UX/UI Designer,"Washington, D.C.","User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.",Temporary,2023-05-22,https://www.snagajob.com/
DuPont,Software Engineer,"Washington, D.C.","A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.",Part-Time,2022-07-27,https://www.jobs2careers.com/
Electrocomponents,Data Engineer,"Washington, D.C.","An ETL Developer specializes in designing and implementing Extract, Transform, Load (ETL) processes to move and transform data between systems, supporting data integration and analytics.",Temporary,2021-12-25,https://stackoverflowjobs.com/
Rolls-Royce Holdings,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Temporary,2021-09-25,https://www.simplyhired.com/
DXC Technology,Data Analyst,"Washington, D.C.","Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.",Part-Time,2022-09-19,https://www.glassdoor.com/
CVS Health,Data Analyst,"Washington, D.C.","Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.",Contract,2023-01-29,https://stackoverflowjobs.com/
British American Tobacco,Software Engineer,"Washington, D.C.","A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.",Temporary,2023-03-11,https://stackoverflowjobs.com/
Dick's Sporting Goods,UX/UI Designer,"Washington, D.C.","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Temporary,2021-12-04,https://www.snagajob.com/
Fannie Mae,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Part-Time,2023-05-05,https://www.linkedin.com/
Casey's General Stores,UX/UI Designer,"Washington, D.C.","User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.",Temporary,2023-01-04,https://www.ziprecruiter.com/
Diamondback Energy,Business Analyst,"Washington, D.C.","Data Business Analysts focus on data-related projects. They collect and analyze data, identify trends, and provide insights to support data-driven decision-making within the organization.",Contract,2022-02-09,https://www.idealist.org/en/jobs
Evolution Mining,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Part-Time,2023-02-13,https://www.monster.com/
Playtech,Software Engineer,"Washington, D.C.","DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).",Intern,2021-12-21,https://www.glassdoor.com/
Principal Financial,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Contract,2023-06-20,https://www.themuse.com/
EOG Resources,Data Analyst,"Washington, D.C.","Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization.",Temporary,2022-05-03,https://www.snagajob.com/
Block,Software Engineer,"Washington, D.C.","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",Full-Time,2022-09-27,https://www.jobs2careers.com/
Enterprise Products Partners,Data Scientist,"Washington, D.C.","Machine Learning Engineers develop machine learning models and algorithms, working on tasks like data preprocessing, model training, and deployment.",Temporary,2022-11-20,https://www.linkedin.com/
Symrise AG,Data Scientist,"Washington, D.C.","Machine Learning Engineers develop machine learning models and algorithms, working on tasks like data preprocessing, model training, and deployment.",Part-Time,2022-11-02,https://www.usajobs.gov/
PulteGroup,UX/UI Designer,"Washington, D.C.","User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.",Contract,2023-06-29,https://www.flexjobs.com/
Sysco,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Intern,2022-07-29,https://stackoverflowjobs.com/
Booking Holdings,Software Engineer,"Washington, D.C.","DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).",Contract,2023-05-03,https://www.idealist.org/en/jobs
Great Wall Motors,Data Scientist,"Washington, D.C.","Machine Learning Engineers develop machine learning models and algorithms, working on tasks like data preprocessing, model training, and deployment.",Full-Time,2023-01-08,https://www.jobs2careers.com/
CHS,Software Engineer,"Washington, D.C.","DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).",Part-Time,2023-05-05,https://www.simplyhired.com/
Science Applications International,Data Engineer,"Washington, D.C.","An ETL Developer specializes in designing and implementing Extract, Transform, Load (ETL) processes to move and transform data between systems, supporting data integration and analytics.",Full-Time,2023-03-03,https://www.ziprecruiter.com/
Coty Inc.,Business Analyst,"Washington, D.C.","IT Business Analysts bridge the gap between business needs and technology solutions. They analyze business processes, gather requirements, and create solutions that align with organizational goals.",Part-Time,2023-03-06,https://www.usajobs.gov/
Salesforce,UX/UI Designer,"Washington, D.C.",Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Temporary,2023-01-04,https://www.linkedin.com/
Vistra,Business Analyst,"Washington, D.C.","Data Business Analysts focus on data-related projects. They collect and analyze data, identify trends, and provide insights to support data-driven decision-making within the organization.",Full-Time,2022-08-21,https://www.simplyhired.com/
